Year,Month,Country_of_Origin,Purpose,Primary_District,Accommodation_Type,Duration_Days,Group_Size,Age,Prior_Visits_SL,Season,Crisis_Period,Monthly_Arrivals
2019,3,Japan,Eco-Tourism,Yala,4-Star,5.0,4,62.0,0,Wet Season,0,169138
2023,11,India,Leisure,Colombo,5-Star,5.0,2,,0,Wet Season,0,119460
2017,11,Other,Adventure,Ella,Homestay,9.0,1,34.0,0,Wet Season,0,188355
2015,1,India,VFR,Colombo,4-Star,19.0,1,28.0,0,Wet Season,0,186111
2019,2,USA,Leisure,Bentota,Budget Hotel,7.0,1,52.0,0,Wet Season,0,182974
2019,12,India,Leisure,Galle,5-Star,7.0,5,39.0,1,Wet Season,0,223475
2015,7,Australia,Leisure,Colombo,3-Star,9.0,6,24.0,0,Dry Season,0,133530
2018,3,United Kingdom,Honeymoon,Mirissa,Hostel,16.0,3,34.0,0,Wet Season,0,227890
2023,5,Other,Cultural,Sigiriya,Homestay,9.0,1,35.0,0,Dry Season,0,90910
2019,3,Japan,Leisure,Mirissa,Budget Hotel,5.0,1,42.0,0,Wet Season,0,181060
2015,5,India,Medical,Colombo,Eco-Lodge,13.0,2,48.0,0,Dry Season,0,131075
2016,9,United Kingdom,Adventure,Ella,Hostel,16.0,2,,0,Dry Season,0,133770
2015,12,India,VFR,Kandy,Boutique,10.0,4,18.0,0,Wet Season,0,222382
2018,3,India,VFR,Kandy,Boutique,15.0,3,38.0,2,Wet Season,0,232470
2018,8,France,Leisure,Galle,Hostel,9.0,2,43.0,0,Dry Season,0,182346
2023,7,Australia,Leisure,Mirissa,4-Star,9.0,2,67.0,4,Dry Season,0,118430
2023,3,United Kingdom,Leisure,Colombo,Boutique,11.0,2,31.0,0,Wet Season,0,136708
2015,1,India,Leisure,Galle,Homestay,,3,18.0,0,Wet Season,0,187084
2017,12,Russia,Beach,Arugam Bay,Eco-Lodge,10.0,1,67.0,1,Wet Season,0,239734
2016,8,United Kingdom,Honeymoon,Galle,Homestay,10.0,3,55.0,0,Dry Season,0,168490
2022,4,Other,Adventure,Sigiriya,Homestay,14.0,1,53.0,0,Wet Season,0,60677
2018,1,Germany,Eco-Tourism,Yala,5-Star,6.0,1,30.0,1,Wet Season,0,254363
2019,12,Germany,Adventure,Sigiriya,4-Star,17.0,1,36.0,4,Wet Season,0,217654
2016,8,Japan,Leisure,Mirissa,Homestay,11.0,2,37.0,2,Dry Season,0,170626
2015,1,Other,Leisure,Colombo,5-Star,10.0,2,45.0,0,Wet Season,0,176134
2016,5,United Kingdom,Cultural,Polonnaruwa,4-Star,,3,44.0,0,Dry Season,0,121616
2017,12,Canada,Adventure,Nuwara Eliya,Boutique,17.0,3,33.0,0,Wet Season,0,268030
2018,12,Other,Adventure,Nuwara Eliya,Eco-Lodge,11.0,2,20.0,0,Wet Season,0,262729
2021,5,United Kingdom,Cultural,Anuradhapura,Budget Hotel,5.0,2,18.0,0,Dry Season,1,576
2017,8,Other,Leisure,Mirissa,Eco-Lodge,7.0,2,47.0,1,Dry Season,0,181895
2017,9,India,Medical,Colombo,4-Star,14.0,2,42.0,2,Dry Season,0,131508
2021,3,Russia,Beach,Arugam Bay,5-Star,7.0,2,35.0,2,Wet Season,1,914
2015,8,Switzerland,Adventure,Ella,Homestay,10.0,2,56.0,0,Dry Season,0,138393
2023,5,Australia,VFR,Kandy,3-Star,19.0,3,54.0,2,Dry Season,0,98437
2016,4,Germany,Eco-Tourism,Wilpattu,3-Star,,4,39.0,0,Wet Season,0,161302
2017,11,Other,Leisure,Galle,Boutique,8.0,2,21.0,2,Wet Season,0,176336
2023,3,Indai,VFR,Gampaha,Homestay,10.0,4,36.0,0,Wet Season,0,136630
2018,4,Australia,Adventure,Sigiriya,Boutique,7.0,2,40.0,0,Wet Season,0,186387
2023,12,Germany,Leisure,Galle,Eco-Lodge,10.0,5,38.0,0,Wet Season,0,175802
2019,5,China,Leisure,Galle,3-Star,10.0,5,32.0,0,Dry Season,1,39676
2019,3,India,Leisure,Bentota,4-Star,5.0,2,39.0,0,Wet Season,0,175796
2016,3,Canada,Adventure,Sigiriya,Boutique,17.0,2,45.0,2,Wet Season,0,177755
2016,3,United Kingdom,Adventure,Knuckles Range,Hostel,16.0,2,57.0,0,Wet Season,0,186735
2020,1,Germany,Eco-Tourism,Yala,Budget Hotel,9.0,2,27.0,1,Wet Season,0,56833
2019,1,Russia,Honeymoon,Nuwara Eliya,5-Star,16.0,2,,0,Wet Season,0,205980
2022,5,Other,Adventure,Ella,Budget Hotel,9.0,1,26.0,1,Dry Season,0,46773
2019,12,India,Leisure,Mirissa,Boutique,6.0,6,42.0,0,Wet Season,0,218244
2017,12,United Kingdom,Adventure,Nuwara Eliya,3-Star,10.0,5,47.0,4,Wet Season,0,249609
2018,8,China,Shopping,Colombo,Hostel,4.0,2,21.0,2,Dry Season,0,187545
2018,11,Japan,Eco-Tourism,Wilpattu,Hostel,10.0,1,27.0,1,Wet Season,0,203448
2023,12,Russia,Honeymoon,Mirissa,4-Star,13.0,2,30.0,0,Wet Season,0,173590
2022,4,Japan,Cultural,Anuradhapura,4-Star,4.0,2,45.0,0,Wet Season,0,48383
2015,9,United Kingdom,Cultural,Anuradhapura,Budget Hotel,7.0,2,33.0,1,Dry Season,0,114121
2022,10,Other,Adventure,Nuwara Eliya,Eco-Lodge,14.0,1,41.0,1,Wet Season,0,52037
2018,3,Australia,Adventure,Sigiriya,Hostel,14.0,1,48.0,0,Wet Season,0,208078
2018,9,Australia,VFR,Colombo,Homestay,11.0,2,,1,Dry Season,0,152861
2015,1,France,Eco-Tourism,Knuckles Range,Hostel,8.0,4,19.0,0,Wet Season,0,185983
2019,12,Maldives,Business,Colombo,Boutique,3.0,6,31.0,0,Wet Season,0,188165
2016,10,France,Eco-Tourism,Sinharaja,Boutique,5.0,2,26.0,1,Wet Season,0,141957
2017,5,China,Group Tour,Kandy,Eco-Lodge,6.0,1,50.0,1,Dry Season,0,128910
2017,4,Maldives,Business,Gampaha,Hostel,3.0,1,,0,Wet Season,0,157714
2022,11,Other,Adventure,Sigiriya,Budget Hotel,8.0,1,,0,Wet Season,0,61145
2017,7,Other,Leisure,Colombo,5-Star,10.0,1,39.0,0,Dry Season,0,178482
2019,12,Canada,Adventure,Sigiriya,Boutique,16.0,4,52.0,0,Wet Season,0,201590
2019,1,United Kingdom,Leisure,Galle,Homestay,8.0,2,35.0,0,Wet Season,0,180163
2023,9,Australia,Adventure,Sigiriya,4-Star,16.0,1,33.0,1,Dry Season,0,98008
2016,5,China,Leisure,Mirissa,4-Star,8.0,1,38.0,0,Dry Season,0,133823
2017,11,Other,Cultural,Anuradhapura,Hostel,9.0,2,24.0,0,Wet Season,0,188205
2017,8,Other,Cultural,Sigiriya,4-Star,8.0,2,21.0,2,Dry Season,0,157507
2020,1,United Kingdom,Adventure,Knuckles Range,3-Star,10.0,1,25.0,0,Wet Season,0,50331
2016,4,Maldives,Transit,Colombo,4-Star,2.0,1,40.0,0,Wet Season,0,166983
2018,1,Other,Adventure,Ella,Budget Hotel,15.0,3,43.0,4,Wet Season,0,258050
2019,1,Switzerland,Eco-Tourism,Yala,Homestay,6.0,5,20.0,0,Wet Season,0,189823
2018,8,Germany,Adventure,Knuckles Range,5-Star,15.0,1,40.0,0,Dry Season,0,183577
2023,12,Australia,Leisure,Galle,Hostel,7.0,3,,0,Wet Season,0,166335
2016,10,China,Shopping,Gampaha,5-Star,3.0,2,,0,Wet Season,0,141793
2018,6,Maldives,Business,Gampaha,Eco-Lodge,5.0,2,32.0,0,Dry Season,0,158539
2017,1,India,Medical,Colombo,3-Star,15.0,1,43.0,0,Wet Season,0,229773
2017,10,China,Group Tour,Galle,Eco-Lodge,5.0,4,36.0,0,Wet Season,0,155729
2016,12,India,Medical,Colombo,Eco-Lodge,24.0,6,45.0,0,Wet Season,0,234107
2019,10,United Kingdom,Leisure,Galle,3-Star,11.0,2,54.0,0,Wet Season,0,143284
2018,8,China,Leisure,Galle,4-Star,8.0,5,35.0,0,Dry Season,0,177292
2018,2,China,Group Tour,Sigiriya,Boutique,7.0,2,41.0,1,Wet Season,0,238997
2016,5,Germny,Cultural,Sigiriya,Hostel,9.0,1,24.0,1,Dry Season,0,134659
2015,3,China,Group Tour,Colombo,5-Star,7.0,2,27.0,1,Wet Season,0,173414
2017,11,India,Medical,Colombo,5-Star,25.0,1,40.0,0,Wet Season,0,173832
2019,9,Germany,Leisure,Galle,5-Star,7.0,4,41.0,3,Dry Season,0,125990
2015,3,Indai,VFR,Gampaha,Eco-Lodge,12.0,1,41.0,1,Wet Season,0,173608
2016,1,India,Medical,Colombo,Hostel,29.0,1,45.0,0,Wet Season,0,229454
2017,5,India,Leisure,Colombo,4-Star,8.0,2,37.0,1,Dry Season,0,134859
2019,4,China,Shopping,Colombo,Eco-Lodge,6.0,2,34.0,0,Wet Season,1,35841
2019,3,China,Shopping,Colombo,Eco-Lodge,5.0,3,34.0,2,Wet Season,0,180839
2016,3,Other,Adventure,Sigiriya,Hostel,,3,25.0,0,Wet Season,0,185818
2015,7,Maldives,Business,Colombo,3-Star,4.0,2,24.0,1,Dry Season,0,139839
2015,3,India,Business,Gampaha,3-Star,5.0,1,31.0,1,Wet Season,0,166004
2019,5,Russia,Honeymoon,Mirissa,4-Star,17.0,3,18.0,0,Dry Season,1,42197
2018,4,Germany,Eco-Tourism,Sinharaja,Budget Hotel,11.0,6,46.0,1,Wet Season,0,192070
2018,1,Other,Cultural,Polonnaruwa,Eco-Lodge,4.0,1,56.0,1,Wet Season,0,249178
2016,8,Other,Cultural,Sigiriya,Boutique,8.0,5,22.0,2,Dry Season,0,178722
2018,1,Canada,Cultural,Polonnaruwa,Eco-Lodge,4.0,2,28.0,2,Wet Season,0,253420
2015,6,Japan,Eco-Tourism,Sinharaja,5-Star,7.0,2,48.0,2,Dry Season,0,123750
2023,11,United Kingdom,Leisure,Colombo,5-Star,5.0,2,53.0,0,Wet Season,0,118879
2017,2,USA,Business,Colombo,Eco-Lodge,4.0,5,39.0,0,Wet Season,0,200767
2015,10,Frnace,Cultural,Kandy,Homestay,9.0,1,30.0,0,Wet Season,0,129589
2016,3,Maldives,Leisure,Mirissa,Budget Hotel,7.0,1,22.0,0,Wet Season,0,176909
2020,10,India,Business,Colombo,5-Star,,1,18.0,2,Wet Season,1,1934
2016,11,United Kingdom,Cultural,Anuradhapura,Homestay,5.0,2,20.0,0,Wet Season,0,174268
2015,1,United Kingdom,Honeymoon,Galle,4-Star,14.0,4,49.0,0,Wet Season,0,197073
2018,5,USA,Leisure,Colombo,Homestay,13.0,3,52.0,0,Dry Season,0,148925
2017,2,China,Leisure,Bentota,Boutique,11.0,4,22.0,0,Wet Season,0,217446
2023,2,Germany,Cultural,Anuradhapura,3-Star,,1,24.0,4,Wet Season,0,147900
2023,8,South Korea,Cultural,Anuradhapura,Hostel,6.0,6,41.0,0,Dry Season,0,120674
2016,6,Canada,Adventure,Ella,3-Star,8.0,2,45.0,1,Dry Season,0,142232
2023,10,Other,Leisure,Galle,Hostel,5.0,1,47.0,0,Wet Season,0,98249
2017,1,Germany,Cultural,Kandy,Hostel,7.0,1,18.0,0,Wet Season,0,214600
2017,3,Other,Cultural,Kandy,3-Star,,5,50.0,1,Wet Season,0,187889
2016,9,India,Medical,Colombo,Budget Hotel,18.0,3,39.0,0,Dry Season,0,127057
2019,3,Other,Leisure,Bentota,Budget Hotel,6.0,1,35.0,2,Wet Season,0,191963
2015,8,France,Cultural,Polonnaruwa,Hostel,5.0,5,32.0,0,Dry Season,0,130612
2023,6,Germany,Cultural,Sigiriya,Eco-Lodge,,3,49.0,0,Dry Season,0,96565
2016,12,Other,Adventure,Ella,5-Star,11.0,5,18.0,1,Wet Season,0,239766
2023,2,United Kingdom,Adventure,Sigiriya,3-Star,11.0,2,35.0,0,Wet Season,0,156099
2019,1,Other,Leisure,Bentota,3-Star,12.0,4,,1,Wet Season,0,203016
2018,6,Other,Leisure,Colombo,5-Star,5.0,3,51.0,3,Dry Season,0,168413
2022,12,United Kingdom,Leisure,Mirissa,4-Star,11.0,2,34.0,4,Wet Season,0,91119
2017,2,Italy,Honeymoon,Nuwara Eliya,3-Star,17.0,2,37.0,0,Wet Season,0,212124
2023,7,Canada,Cultural,Sigiriya,Boutique,9.0,2,32.0,0,Dry Season,0,122609
2016,11,Australia,Leisure,Galle,Boutique,11.0,1,47.0,0,Wet Season,0,181169
2022,6,Japan,Cultural,Polonnaruwa,Boutique,,1,54.0,0,Dry Season,0,45583
2020,10,United Kingdom,Cultural,Sigiriya,Boutique,5.0,6,,1,Wet Season,1,1603
2022,2,Other,Cultural,Kandy,Eco-Lodge,5.0,2,30.0,1,Wet Season,0,75561
2018,12,France,Cultural,Polonnaruwa,Eco-Lodge,9.0,3,51.0,0,Wet Season,0,267294
2017,8,United Kingdom,Adventure,Nuwara Eliya,5-Star,8.0,3,,2,Dry Season,0,165155
2016,7,United Kingdom,Cultural,Polonnaruwa,Homestay,8.0,2,52.0,0,Dry Season,0,172681
2018,11,Netherlands,Leisure,Mirissa,5-Star,10.0,1,37.0,0,Wet Season,0,187164
2015,12,Canada,Cultural,Anuradhapura,4-Star,8.0,1,33.0,0,Wet Season,0,232259
2018,2,United Kingdom,Adventure,Knuckles Range,Boutique,,1,57.0,0,Wet Season,0,220495
2016,2,Other,Cultural,Anuradhapura,Eco-Lodge,4.0,2,37.0,0,Wet Season,0,196785
2015,3,Other,Cultural,Anuradhapura,Boutique,8.0,1,37.0,2,Wet Season,0,176454
2019,2,United Kingdom,Honeymoon,Galle,Eco-Lodge,17.0,1,22.0,0,Wet Season,0,179869
2018,6,China,Shopping,Gampaha,4-Star,3.0,3,44.0,0,Dry Season,0,158221
2019,1,France,Eco-Tourism,Yala,5-Star,11.0,1,42.0,0,Wet Season,0,197995
2016,4,Germany,Eco-Tourism,Yala,5-Star,5.0,3,52.0,2,Wet Season,0,151350
2019,2,Italy,Leisure,Colombo,Homestay,7.0,3,46.0,0,Wet Season,0,188610
2016,5,United Kingdom,Leisure,Bentota,3-Star,9.0,1,23.0,1,Dry Season,0,133505
2017,8,United Kingdom,Leisure,Bentota,Hostel,5.0,3,54.0,0,Dry Season,0,174643
2016,11,United Kingdom,Leisure,Colombo,5-Star,7.0,1,41.0,1,Wet Season,0,177591
2017,4,Other,Adventure,Knuckles Range,4-Star,15.0,2,24.0,0,Wet Season,0,147910
2015,7,Other,Cultural,Polonnaruwa,3-Star,7.0,2,32.0,1,Dry Season,0,161181
2021,5,USA,Business,Colombo,3-Star,2.0,2,35.0,0,Dry Season,1,675
2016,4,Switzerland,Leisure,Colombo,Budget Hotel,,3,,1,Wet Season,0,142700
2016,3,China,Leisure,Bentota,Boutique,6.0,4,,1,Wet Season,0,191004
2015,5,Germany,Adventure,Knuckles Range,Budget Hotel,7.0,1,35.0,0,Dry Season,0,101471
2016,8,India,Leisure,Colombo,4-Star,8.0,6,35.0,0,Dry Season,0,156735
2023,1,France,Leisure,Colombo,Hostel,11.0,2,66.0,0,Wet Season,0,159078
2019,11,India,Leisure,Colombo,4-Star,5.0,1,57.0,1,Wet Season,0,175437
2017,3,Australia,VFR,Colombo,Hostel,14.0,2,45.0,3,Wet Season,0,195583
2017,8,Japan,Eco-Tourism,Yala,Eco-Lodge,10.0,2,36.0,0,Dry Season,0,162024
2019,6,Australia,Adventure,Knuckles Range,3-Star,11.0,2,23.0,0,Dry Season,0,65728
2019,12,Other,Adventure,Nuwara Eliya,Homestay,14.0,3,36.0,0,Wet Season,0,222855
2015,12,India,Medical,Colombo,Eco-Lodge,21.0,1,49.0,1,Wet Season,0,214382
2019,1,United Kingdom,Cultural,Polonnaruwa,Eco-Lodge,8.0,2,36.0,2,Wet Season,0,208404
2018,3,Indai,Medical,Colombo,4-Star,17.0,1,51.0,1,Wet Season,0,208509
2018,10,China,Shopping,Gampaha,Hostel,2.0,2,39.0,1,Wet Season,0,162397
2017,2,Other,Cultural,Kandy,Hostel,9.0,1,38.0,0,Wet Season,0,213719
2018,9,Germany,Eco-Tourism,Wilpattu,3-Star,12.0,2,51.0,1,Dry Season,0,135847
2015,8,Maldives,Leisure,Colombo,5-Star,7.0,4,45.0,0,Dry Season,0,146928
2016,5,United Kingdom,Cultural,Polonnaruwa,Boutique,6.0,2,31.0,2,Dry Season,0,134309
2017,5,Other,Adventure,Ella,5-Star,16.0,1,35.0,0,Dry Season,0,131120
2018,5,Other,Adventure,Ella,Homestay,13.0,2,41.0,0,Dry Season,0,144742
2018,2,Maldives,Business,Gampaha,Homestay,2.0,2,19.0,4,Wet Season,0,231467
2016,8,USA,Business,Gampaha,Eco-Lodge,4.0,3,48.0,1,Dry Season,0,166614
2022,7,Italy,Leisure,Bentota,Homestay,10.0,2,18.0,0,Dry Season,0,59692
2023,3,Other,Cultural,Anuradhapura,Eco-Lodge,7.0,2,19.0,0,Wet Season,0,137309
2016,8,Canada,Adventure,Knuckles Range,Boutique,8.0,2,37.0,0,Dry Season,0,176882
2018,12,India,Business,Gampaha,Homestay,,3,49.0,0,Wet Season,0,283163
2019,2,Other,Adventure,Sigiriya,Eco-Lodge,11.0,3,52.0,0,Wet Season,0,173701
2015,12,United Kingdom,Honeymoon,Galle,4-Star,19.0,1,37.0,0,Wet Season,0,202665
2022,12,India,Medical,Colombo,Hostel,22.0,3,24.0,1,Wet Season,0,86085
2019,12,USA,Cultural,Polonnaruwa,4-Star,4.0,1,36.0,0,Wet Season,0,222119
2023,8,Other,Cultural,Polonnaruwa,Homestay,7.0,1,69.0,1,Dry Season,0,126034
2023,1,Other,Cultural,Polonnaruwa,Eco-Lodge,6.0,4,42.0,1,Wet Season,0,167339
2018,5,Canada,Cultural,Anuradhapura,4-Star,4.0,1,18.0,0,Dry Season,0,151619
2018,12,India,VFR,Gampaha,3-Star,6.0,4,49.0,1,Wet Season,0,270866
2018,4,United Kingdom,Adventure,Ella,Eco-Lodge,12.0,1,30.0,1,Wet Season,0,177816
2022,11,India,Business,Colombo,5-Star,,1,39.0,0,Wet Season,0,54773
2017,10,Canada,Adventure,Sigiriya,5-Star,9.0,1,41.0,1,Wet Season,0,142905
2016,12,India,VFR,Kandy,Hostel,,1,29.0,4,Wet Season,0,217313
2015,11,France,Eco-Tourism,Wilpattu,Homestay,,6,34.0,2,Wet Season,0,145496
2017,6,Indai,Business,Gampaha,Eco-Lodge,,3,51.0,0,Dry Season,0,153346
2015,6,China,Leisure,Galle,Boutique,5.0,3,44.0,0,Dry Season,0,111487
2017,6,United Kingdom,Cultural,Sigiriya,Budget Hotel,7.0,1,,0,Dry Season,0,145351
2023,12,Maldives,Business,Gampaha,5-Star,2.0,2,26.0,1,Wet Season,0,166595
2022,12,Other,Leisure,Galle,4-Star,12.0,1,51.0,0,Wet Season,0,80990
2022,4,Maldives,Business,Gampaha,Eco-Lodge,3.0,1,28.0,0,Wet Season,0,51880
2016,4,Germany,Leisure,Bentota,Homestay,13.0,2,47.0,0,Wet Season,0,160158
2016,4,Other,Adventure,Ella,Budget Hotel,10.0,6,22.0,2,Wet Season,0,153341
2016,1,Italy,Honeymoon,Nuwara Eliya,3-Star,13.0,1,31.0,0,Wet Season,0,210912
2019,11,USA,Cultural,Anuradhapura,4-Star,9.0,1,18.0,0,Wet Season,0,171596
2018,4,India,Leisure,Colombo,Budget Hotel,13.0,4,42.0,1,Wet Season,0,170744
2019,1,China,Leisure,Mirissa,5-Star,6.0,2,37.0,0,Wet Season,0,198458
2019,4,Other,Leisure,Mirissa,Hostel,13.0,1,40.0,0,Wet Season,1,37499
2016,12,France,Leisure,Mirissa,Homestay,,1,49.0,1,Wet Season,0,248284
2019,7,South Korea,Leisure,Colombo,3-Star,9.0,2,33.0,0,Dry Season,0,156446
2018,3,Japan,Leisure,Mirissa,3-Star,12.0,3,37.0,0,Wet Season,0,208579
2023,12,Australia,VFR,Gampaha,Homestay,12.0,5,32.0,0,Wet Season,0,172622
2018,11,Other,Cultural,Kandy,Eco-Lodge,5.0,6,19.0,0,Wet Season,0,183630
2016,3,Other,Cultural,Sigiriya,Homestay,9.0,2,34.0,0,Wet Season,0,194651
2018,7,France,Eco-Tourism,Sinharaja,4-Star,6.0,1,48.0,0,Dry Season,0,175264
2016,2,Other,Cultural,Anuradhapura,Homestay,6.0,4,36.0,0,Wet Season,0,211066
2018,7,United Kingdom,Adventure,Ella,5-Star,7.0,2,49.0,0,Dry Season,0,182681
2017,11,China,Leisure,Colombo,4-Star,11.0,1,43.0,0,Wet Season,0,186155
2018,8,Japan,Cultural,Anuradhapura,3-Star,5.0,2,18.0,4,Dry Season,0,181259
2020,2,India,Business,Colombo,Eco-Lodge,5.0,2,24.0,0,Wet Season,0,52608
2015,2,Other,Leisure,Bentota,Budget Hotel,12.0,5,54.0,0,Wet Season,0,165942
2015,11,United Kingdom,Adventure,Ella,3-Star,8.0,4,44.0,1,Wet Season,0,161144
2015,6,Other,Adventure,Knuckles Range,5-Star,,2,28.0,2,Dry Season,0,114768
2023,12,France,Eco-Tourism,Knuckles Range,Hostel,8.0,3,42.0,0,Wet Season,0,157498
2018,5,India,VFR,Kandy,Eco-Lodge,8.0,2,43.0,0,Dry Season,0,154511
2016,6,Canada,Adventure,Nuwara Eliya,3-Star,16.0,2,19.0,1,Dry Season,0,143780
2017,8,Germany,Cultural,Polonnaruwa,5-Star,4.0,1,34.0,1,Dry Season,0,158296
2023,6,India,Leisure,Galle,5-Star,8.0,4,,0,Dry Season,0,110460
2022,7,India,Medical,Colombo,Hostel,12.0,2,38.0,0,Dry Season,0,59303
2017,2,Other,Leisure,Colombo,5-Star,9.0,1,39.0,1,Wet Season,0,226142
2018,8,Germany,Adventure,Knuckles Range,Hostel,12.0,2,33.0,0,Dry Season,0,182408
2017,7,Other,Adventure,Ella,Boutique,12.0,4,54.0,1,Dry Season,0,170811
2016,6,South Korea,Group Tour,Galle,Budget Hotel,5.0,3,37.0,1,Dry Season,0,137111
2018,8,Netherlands,Cultural,Sigiriya,Homestay,4.0,3,41.0,0,Dry Season,0,183982
2018,1,India,Business,Colombo,4-Star,4.0,1,75.0,0,Wet Season,0,248481
2017,11,United Kingdom,Cultural,Sigiriya,Boutique,5.0,1,23.0,1,Wet Season,0,196574
2022,11,Other,Cultural,Kandy,Budget Hotel,5.0,1,23.0,1,Wet Season,0,60117
2019,9,India,VFR,Colombo,Eco-Lodge,19.0,1,35.0,0,Dry Season,0,133179
2020,5,Switzerland,Eco-Tourism,Wilpattu,Eco-Lodge,13.0,2,31.0,0,Dry Season,1,633
2015,5,India,Business,Colombo,3-Star,2.0,1,18.0,0,Dry Season,0,115545
2017,4,Switzerland,Adventure,Knuckles Range,3-Star,11.0,1,24.0,0,Wet Season,0,157547
2016,12,United Kingdm,Cultural,Anuradhapura,Budget Hotel,4.0,1,33.0,1,Wet Season,0,253196
2017,5,Other,Adventure,Sigiriya,Budget Hotel,7.0,4,19.0,1,Dry Season,0,151335
2023,2,France,Eco-Tourism,Knuckles Range,3-Star,10.0,2,,1,Wet Season,0,150540
2016,4,India,Leisure,Bentota,Homestay,6.0,3,24.0,0,Wet Season,0,157394
2019,3,Russia,Leisure,Colombo,Hostel,11.0,1,50.0,0,Wet Season,0,178925
2016,7,United Kingdom,Cultural,Kandy,3-Star,4.0,2,18.0,4,Dry Season,0,173141
2015,2,France,Leisure,Bentota,Homestay,13.0,2,49.0,3,Wet Season,0,162009
2019,10,Russia,Honeymoon,Nuwara Eliya,4-Star,9.0,3,18.0,1,Wet Season,0,127785
2016,1,China,Shopping,Gampaha,4-Star,4.0,4,31.0,2,Wet Season,0,201325
2020,7,Germany,Leisure,Bentota,4-Star,10.0,3,30.0,0,Dry Season,1,766
2016,5,Other,Cultural,Anuradhapura,Homestay,,1,40.0,0,Dry Season,0,130109
2023,12,Germany,Eco-Tourism,Knuckles Range,3-Star,13.0,1,47.0,0,Wet Season,0,168804
2016,5,Other,Leisure,Galle,Budget Hotel,9.0,2,,0,Dry Season,0,142130
2015,12,Other,Leisure,Bentota,Budget Hotel,9.0,1,34.0,0,Wet Season,0,197742
2023,1,Australia,VFR,Colombo,Budget Hotel,,3,48.0,3,Wet Season,0,157456
2016,2,India,Business,Gampaha,Budget Hotel,3.0,3,27.0,2,Wet Season,0,203302
2023,1,Other,Cultural,Kandy,5-Star,4.0,2,24.0,1,Wet Season,0,157228
2023,7,Canada,Leisure,Galle,3-Star,12.0,1,28.0,0,Dry Season,0,119578
2019,6,China,Shopping,Gampaha,5-Star,2.0,4,45.0,1,Dry Season,0,58133
2019,12,United Kingdom,Adventure,Sigiriya,3-Star,10.0,1,24.0,0,Wet Season,0,222893
2023,6,Germany,Leisure,Bentota,3-Star,11.0,2,49.0,2,Dry Season,0,98169
2019,11,Switzerland,Eco-Tourism,Yala,5-Star,6.0,3,46.0,1,Wet Season,0,172281
2015,12,United Kingdom,Leisure,Galle,4-Star,,1,56.0,3,Wet Season,0,207523
2019,9,Other,Adventure,Nuwara Eliya,5-Star,10.0,3,49.0,0,Dry Season,0,125383
2016,10,India,Leisure,Colombo,Eco-Lodge,10.0,3,33.0,2,Wet Season,0,149509
2022,10,Australia,VFR,Colombo,4-Star,16.0,4,37.0,3,Wet Season,0,50369
2019,3,Indai,Business,Colombo,Budget Hotel,4.0,2,62.0,0,Wet Season,0,169169
2016,4,Russia,Beach,Bentota,5-Star,5.0,1,19.0,1,Wet Season,0,152373
2019,12,United Kingdom,Leisure,Bentota,Homestay,11.0,1,38.0,0,Wet Season,0,236469
2016,11,Switzerland,Adventure,Nuwara Eliya,Budget Hotel,14.0,2,30.0,2,Wet Season,0,182728
2018,6,USA,Cultural,Anuradhapura,Hostel,9.0,2,30.0,0,Dry Season,0,159149
2015,2,India,Business,Gampaha,3-Star,3.0,2,18.0,0,Wet Season,0,186775
2018,11,Other,Cultural,Anuradhapura,Budget Hotel,6.0,4,42.0,3,Wet Season,0,213170
2018,2,Other,Adventure,Knuckles Range,Boutique,10.0,1,18.0,0,Wet Season,0,213766
2017,11,India,VFR,Gampaha,Hostel,18.0,2,18.0,0,Wet Season,0,180904
2016,11,France,Cultural,Anuradhapura,5-Star,6.0,1,24.0,2,Wet Season,0,165499
2019,6,Other,Adventure,Ella,4-Star,14.0,5,18.0,0,Dry Season,0,65694
2017,4,Canada,Adventure,Nuwara Eliya,Budget Hotel,9.0,2,37.0,4,Wet Season,0,162288
2017,7,India,Business,Colombo,3-Star,4.0,1,33.0,2,Dry Season,0,177144
2015,12,Other,Leisure,Bentota,Eco-Lodge,7.0,3,18.0,0,Wet Season,0,209476
2015,1,Italy,Leisure,Bentota,4-Star,6.0,2,22.0,0,Wet Season,0,207093
2019,11,Other,Leisure,Bentota,3-Star,8.0,3,38.0,1,Wet Season,0,159928
2018,8,United Kingdom,Honeymoon,Bentota,3-Star,,2,29.0,3,Dry Season,0,180183
2015,2,Other,Adventure,Nuwara Eliya,3-Star,10.0,5,19.0,1,Wet Season,0,193718
2015,11,Russia,Honeymoon,Galle,Eco-Lodge,11.0,2,63.0,0,Wet Season,0,155729
2017,5,Australia,Leisure,Colombo,Eco-Lodge,,2,47.0,1,Dry Season,0,141680
2018,4,Other,Cultural,Sigiriya,5-Star,6.0,3,35.0,4,Wet Season,0,167841
2023,1,China,Shopping,Colombo,4-Star,6.0,3,29.0,0,Wet Season,0,165763
2016,9,Australia,Leisure,Bentota,3-Star,10.0,1,45.0,2,Dry Season,0,120795
2015,4,Other,Adventure,Knuckles Range,Budget Hotel,9.0,2,29.0,2,Wet Season,0,127566
2023,10,Other,Adventure,Nuwara Eliya,5-Star,12.0,6,35.0,0,Wet Season,0,100706
2018,6,China,Group Tour,Kandy,Homestay,8.0,2,24.0,0,Dry Season,0,151924
